timestamp_sec,timestamp_hms,ram_mb
0.00,0:00:00,916.73
1.00,0:00:01,879.76
2.00,0:00:02,844.41
3.00,0:00:03,810.58
6.96,0:00:06,690.49
7.96,0:00:07,663.36
8.96,0:00:08,637.41
9.96,0:00:09,612.59
10.96,0:00:10,588.84
11.96,0:00:11,566.13
12.96,0:00:12,544.41
13.96,0:00:13,523.63
14.96,0:00:14,503.75
15.96,0:00:15,484.74
16.96,0:00:16,466.55
17.96,0:00:17,449.16
18.96,0:00:18,432.52
19.96,0:00:19,416.61
20.96,0:00:20,401.38
21.96,0:00:21,386.82
22.96,0:00:22,372.89
23.96,0:00:23,359.57
24.96,0:00:24,346.83
25.96,0:00:25,334.64
26.96,0:00:26,322.98
27.96,0:00:27,311.83
28.96,0:00:28,301.16
29.96,0:00:29,290.95
30.96,0:00:30,281.19
31.96,0:00:31,271.86
32.96,0:00:32,262.93
33.96,0:00:33,254.38
34.96,0:00:34,246.21
35.96,0:00:35,238.39
36.96,0:00:36,230.92
37.96,0:00:37,223.77
38.96,0:00:38,216.93
43.03,0:00:43,192.06
44.03,0:00:44,186.60
45.03,0:00:45,181.38
46.03,0:00:46,176.38
47.03,0:00:47,171.60
48.03,0:00:48,167.03
49.03,0:00:49,162.65
50.03,0:00:50,158.47
51.03,0:00:51,154.47
52.03,0:00:52,150.64
53.03,0:00:53,146.98
54.03,0:00:54,143.48
55.03,0:00:55,140.13
56.03,0:00:56,137.00
57.03,0:00:57,133.93
58.03,0:00:58,131.00
59.03,0:00:59,128.20
60.03,0:01:00,125.52
61.03,0:01:01,122.95
62.03,0:01:02,120.50
63.03,0:01:03,118.15
64.03,0:01:04,115.91
65.03,0:01:05,113.76
66.03,0:01:06,111.70
67.03,0:01:07,109.74
68.03,0:01:08,107.86
69.03,0:01:09,106.06
70.03,0:01:10,104.34
71.03,0:01:11,102.70
72.03,0:01:12,101.12
73.03,0:01:13,99.62
74.03,0:01:14,98.18
75.03,0:01:15,96.80
79.09,0:01:19,91.80
80.09,0:01:20,117.42
81.09,0:01:21,117.42
82.09,0:01:22,117.42
83.09,0:01:23,117.42
84.09,0:01:24,117.42
85.09,0:01:25,117.42
86.09,0:01:26,117.42
87.09,0:01:27,117.42
88.09,0:01:28,117.42
89.09,0:01:29,117.42
90.09,0:01:30,117.42
91.09,0:01:31,117.42
92.09,0:01:32,117.42
93.09,0:01:33,117.42
94.09,0:01:34,117.42
95.09,0:01:35,117.42
96.09,0:01:36,117.42
97.09,0:01:37,117.42
98.09,0:01:38,117.42
99.09,0:01:39,117.42
100.09,0:01:40,117.42
101.09,0:01:41,119.37
102.09,0:01:42,119.37
103.09,0:01:43,119.37
104.09,0:01:44,119.37
105.09,0:01:45,119.37
106.09,0:01:46,119.37
107.09,0:01:47,119.37
108.09,0:01:48,119.37
109.09,0:01:49,119.37
110.09,0:01:50,119.37
114.74,0:01:54,119.37
115.74,0:01:55,119.37
116.74,0:01:56,119.37
117.74,0:01:57,119.37
118.74,0:01:58,119.37
119.74,0:01:59,119.37
120.74,0:02:00,119.37
121.74,0:02:01,119.37
122.74,0:02:02,119.37
123.74,0:02:03,119.37
124.74,0:02:04,119.37
125.74,0:02:05,119.37
126.74,0:02:06,119.37
127.74,0:02:07,119.37
128.74,0:02:08,119.37
129.74,0:02:09,119.37
130.74,0:02:10,119.37
131.74,0:02:11,119.37
132.74,0:02:12,119.37
133.74,0:02:13,119.37
134.74,0:02:14,119.37
135.74,0:02:15,119.37
136.74,0:02:16,119.37
137.74,0:02:17,119.37
138.74,0:02:18,119.37
139.74,0:02:19,119.37
140.74,0:02:20,119.37
141.74,0:02:21,119.37
142.74,0:02:22,119.37
143.74,0:02:23,119.37
144.74,0:02:24,119.37
145.74,0:02:25,119.37
146.74,0:02:26,119.37
150.81,0:02:30,119.37
151.81,0:02:31,119.37
152.81,0:02:32,119.37
153.81,0:02:33,119.37
154.81,0:02:34,119.37
155.81,0:02:35,119.37
156.81,0:02:36,119.37
157.81,0:02:37,119.37
158.81,0:02:38,119.37
159.81,0:02:39,119.37
160.81,0:02:40,119.37
161.81,0:02:41,119.37
162.81,0:02:42,119.37
163.81,0:02:43,119.37
164.81,0:02:44,119.37
165.81,0:02:45,119.37
166.81,0:02:46,119.37
167.81,0:02:47,119.37
168.81,0:02:48,119.37
169.81,0:02:49,119.37
170.81,0:02:50,119.37
171.81,0:02:51,119.37
172.81,0:02:52,119.37
173.81,0:02:53,119.37
174.81,0:02:54,119.37
175.81,0:02:55,119.37
176.81,0:02:56,119.37
177.81,0:02:57,119.37
178.81,0:02:58,119.37
179.81,0:02:59,119.37
